,country,Total Population,Available Manpower,Fit-for-Service,Reaching Mil Age Annually,Tot Military Personnel (est.),Active Personnel,Reserve Personnel,Paramilitary,Manpower Composition,Total Aircraft Strength,Fighters/Interceptors,Dedicated Attack,Transports,Trainers,Special-Mission,Tanker Fleet,Helicopters,Attack Helicopters,Tanks,Armored Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Oil Proven Reserves,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Roadway Coverage,Railway Coverage,Airports,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,Square Land Area,Coastline Coverage,Shared Borders,Waterways (usable)
43,Romania,21230362,11039788,9044134,233534,132000,67000,50000,15000,56,147,30,0,11,42,2,0,62,0,451,1392,0,808,207,0,0,0,3,7,0,3,5,70000 bbl,198000 bbl,600000000 bbl,4889000,121,6,84185,11268,45,$5148090000,$117829000000,$44430000000,$556070000000,238391,225,2844,1731
44,Argentina,45864941,20180574,17153488,687974,103000,83000,0,20000,42,218,23,6,22,70,10,2,85,0,349,800,75,172,26,0,0,4,0,9,2,13,0,490000 bbl,806000 bbl,2162000000 bbl,18000000,202,10,281290,36917,916,$3064800000,$278524000000,$45000000000,$900000000000,2780400,4989,11968,11000
45,Malaysia,33519406,15754121,13072568,536310,267000,115000,52000,100000,57,144,26,12,18,39,4,4,41,0,48,1708,0,196,54,0,0,0,3,6,2,29,4,645000 bbl,704000 bbl,3600000000 bbl,15139000,1769,9,144403,1851,114,$3792819200,$224596000000,$102400000000,$855600000000,329847,4675,2742,7200
46,Russia,142320790,69737187,46681219,1280887,1350000,850000,250000,250000,2,4173,772,739,445,522,132,20,1543,544,12420,30122,6574,7571,3391,1,0,15,11,86,70,59,49,10760000 bbl,3650000 bbl,80000000000 bbl,69923000,2873,8,1283387,87157,1218,$154000000000,$479844000000,$432700000000,$3875690000000,17098242,37653,22408,102000
47,Grenada,37466414,14611901,8242611,786795,60000,0,0,60000,142,0,0,0,0,0,0,0,0,0,0,530,0,60,13,,,,,,,,,0 bbl,35000 bbl,0 bbl,8478000,0,2,34903,0,46,$99050000,$284000000,$5000000000,$36000000000,652230,LANDLOCKED,5987,1200
48,Kazakhstan,19245793,8660607,6582061,269411,77000,45000,0,32000,40,237,81,39,17,25,0,0,75,25,310,1215,246,450,407,0,0,0,0,0,0,15,2,1855000 bbl,274000 bbl,30000000000 bbl,8685000,119,5,95409,1614,96,$3900000000,$159351000000,$30750000000,$475180000000,2724900,26,13364,0
49,China,1397897720,754864769,619268690,19570568,3134000,2000000,510000,624000,3,3285,1200,371,286,399,114,3,912,281,5250,35000,4120,1734,3160,2,1,41,49,70,79,152,36,3775000 bbl,12470000 bbl,25630000000 bbl,774710000,6662,22,4960600,131000,507,$230000000000,$2027950000000,$3236000000000,$23009780000000,9596961,14500,22457,110000
50,Mexico,130207371,61197464,49609008,2213525,415000,250000,65000,100000,24,469,3,33,45,204,25,0,159,0,0,3435,0,200,0,0,0,0,5,7,0,126,0,1855000 bbl,1984000 bbl,6630000000 bbl,50914000,671,14,398148,20825,1714,$6456000000,$456713000000,$175300000000,$2306320000000,1964375,9330,4389,2900
51,Turkey,82482383,42148498,35384942,1402201,775000,425000,200000,150000,9,1057,205,0,81,270,20,7,474,107,3022,13270,956,1189,407,0,0,0,16,10,12,35,11,55000 bbl,989900 bbl,341600000 bbl,25677000,1217,10,67333,12710,98,$9690000000,$438677000000,$107700000000,$2400000000000,783562,7200,2816,1200
52,Bulgaria,6919180,3252015,2663884,62273,33000,30000,3000,0,76,66,11,6,7,20,0,0,22,2,410,594,506,350,192,0,0,0,4,2,0,0,12,1000 bbl,97000 bbl,15000000 bbl,3113000,79,2,19512,5114,68,$1105760000,$39059000000,$28380000000,$155060000000,110880,354,1806,470
53,Brazil,213445417,108857163,86018503,3415127,2100000,360000,1340000,400000,16,679,42,77,125,210,41,2,179,12,439,1958,136,546,78,0,1,0,6,2,7,22,5,2600000 bbl,2956000 bbl,12630000000 bbl,86621000,864,17,2000000,29850,4093,$18785000000,$681336000000,$374000000000,$3300000000000,8514877,7491,16145,50000
54,Montenegro,607414,145,86253,3644,12000,2000,0,10000,105,11,0,0,0,0,0,0,11,0,0,100,0,12,18,0,0,0,0,0,0,5,0,0 bbl,6000 bbl,0 bbl,167000,17,1,7762,250,5,$74074500,$2516000000,$1077000000,$11500000000,13812,294,680,0
55,Cuba,11032343,5957465,4765972,143420,1236000,50000,40000,1146000,72,80,38,0,2,26,0,0,14,4,1230,1570,100,150,20,0,0,0,2,0,1,7,5,50000 bbl,175000 bbl,124000000 bbl,4691000,59,8,60000,8367,133,$2989900000,$30060000000,$11350000000,$135000000000,110860,3735,29,240
56,Lebanon,5261372,2051935,1741514,68398,100000,80000,0,20000,74,76,0,9,0,9,0,0,58,0,361,1959,84,374,30,0,0,0,0,0,0,22,0,0 bbl,154000 bbl,0 bbl,2166000,48,2,21705,401,8,$1001400000,$33077000000,$55420000000,$80000000000,10400,225,484,170
57,Botswana,2350667,987280,592368,23507,9000,9000,0,0,84,46,11,0,10,9,0,0,16,0,45,223,12,40,20,,,,,,,,,0 bbl,21000 bbl,0 bbl,1177000,0,0,31747,888,74,$473400000,$2187000000,$7491000000,$38000000000,581730,LANDLOCKED,4347,0
58,Dominican Republic,10597348,4874780,3952811,95376,90000,60000,0,30000,77,65,0,8,12,11,1,0,33,0,10,35,0,15,0,0,0,0,0,0,0,14,0,0 bbl,134000 bbl,0 bbl,4732000,38,5,19705,496,36,$630720000,$23094000000,$6873000000,$185000000000,48320,1288,376,350
59,Gabon,2284912,868267,495826,43413,8500,6500,0,2000,96,23,6,0,2,0,0,0,15,0,0,150,0,10,0,0,0,0,0,0,0,3,0,195000 bbl,24000 bbl,2000000000 bbl,557800,62,5,14300,649,44,$280620000,$6490000000,$981600000,$32000000000,267667,885,3261,1600
60,Thailand,69480520,36129870,27792208,1111688,456000,350000,100000,6000,24,469,74,18,50,130,20,0,177,7,637,2836,44,116,5,0,1,0,7,7,0,49,5,230000 bbl,1326000 bbl,349400000 bbl,37546000,839,5,180053,4127,101,$2933064054,$167890000000,$202600000000,$1200000000000,513120,3219,5673,4000
61,Serbia,6974289,3417402,2699050,83691,80000,25000,50000,5000,61,117,10,17,1,38,0,0,51,4,323,1133,93,404,406,,,,,,,,,17000 bbl,74000 bbl,77500000 bbl,3000000,0,1,44248,3809,26,$1059200000,$30927000000,$11910000000,$125800000000,77474,LANDLOCKED,2322,587
62,Libya,7017224,3648956,3136699,119293,30000,30000,0,0,60,127,20,2,8,65,0,0,32,7,100,2275,183,125,450,0,0,0,1,1,0,1,2,1040000 bbl,260000 bbl,48360000000 bbl,1114000,94,5,37000,2000,146,$3475000000,$3020000000,$74710000000,$68650000000,1759540,1770,4339,0
63,Turkmenistan,5579889,2689506,2181737,106018,35000,30000,0,5000,71,82,24,27,5,0,0,0,26,10,680,2050,73,457,160,0,0,0,0,0,0,25,0,245000 bbl,160000 bbl,600000000 bbl,2305000,73,1,58592,5113,26,$407070000,$539400000,$24910000000,$90000000000,488100,1768,4158,1300
64,Peru,32201224,15456588,12526276,611823,245000,95000,100000,50000,39,243,16,22,39,66,9,0,89,16,146,552,24,231,90,0,0,0,7,7,6,7,0,50000 bbl,250000 bbl,434900000 bbl,3421000,98,8,140672,1854,191,$1830000000,$81333000000,$63830000000,$400000000000,1285216,2414,7062,8808
65,Colombia,50355650,24674269,19487637,856046,515000,295000,35000,185000,25,454,17,38,77,82,28,1,211,0,0,483,6,110,0,0,0,0,4,2,11,285,0,865000 bbl,333000 bbl,1665000000 bbl,19309000,122,8,206500,2141,836,$8139000000,$135644000000,$47130000000,$685000000000,1138910,3208,6672,24725
66,South Africa,56978635,26210172,14130701,968637,267000,72000,15000,180000,41,225,17,0,22,88,7,0,91,12,195,2565,43,82,50,0,0,0,4,0,3,31,2,1600 bbl,621000 bbl,15000000 bbl,14687000,105,6,750000,20986,407,$2910671379,$179871000000,$50720000000,$680040000000,1219090,2798,5244,0
67,Ecuador,17093159,7862853,6290283,307677,160500,40000,120000,500,63,113,9,0,21,33,9,0,41,0,252,698,15,200,43,0,0,0,2,6,2,5,0,515000 bbl,265000 bbl,8273000000 bbl,8086000,145,5,43216,965,432,$2272630000,$50667000000,$2395000000,$185000000000,283560,2237,2237,1500
68,Belarus,9441842,5004176,3701202,103860,445000,45000,290000,110000,44,201,38,67,4,30,0,0,62,21,601,1510,482,228,238,,,,,,,,,30000 bbl,141000 bbl,198000000 bbl,4381000,4,1,86600,5528,65,$723120000,$39847000000,$7315000000,$180000000000,207600,LANDLOCKED,3599,2500
69,Suriname,614749,135245,79917,3074,1800,1800,0,0,110,3,0,0,0,0,0,0,3,0,0,100,0,0,0,0,0,0,0,0,0,16,0,17000 bbl,13000 bbl,84200000 bbl,144000,10,2,4304,0,55,$41888000,$1700000000,$424400000,$9460000000,163820,386,1907,1200
70,Bosnia and Herzegovina,3824782,2371365,1969763,49722,9000,9000,0,0,99,19,0,0,0,0,0,0,19,0,320,332,57,679,143,0,0,0,0,0,0,0,0,0 bbl,32000 bbl,0 bbl,806000,0,5,22926,965,24,$178110000,$10870000000,$6474000000,$48000000000,51197,20,1543,0
71,Namibia,2678191,589202,382981,29460,17500,12500,0,5000,93,30,6,0,3,14,0,0,7,2,5,489,0,54,7,0,0,0,0,2,0,5,0,0 bbl,27000 bbl,0 bbl,956800,14,2,48875,2628,112,$363800000,$7969000000,$2432000000,$22600000000,824292,1572,4220,0
72,Iraq,39650145,16653061,13481049,674052,330000,200000,0,130000,30,361,26,33,16,112,21,0,164,40,826,5050,171,1176,232,0,0,0,0,2,0,26,0,4615000 bbl,826000 bbl,148800000000 bbl,8900000,68,3,59623,2272,102,$6855200000,$73020000000,$48880000000,$372270000000,438317,58,3809,5279
73,Paraguay,7272639,3418140,2901783,145453,74000,14000,50000,10000,86,41,0,0,9,15,0,0,15,0,8,75,6,50,0,,,,,,,,,0 bbl,43000 bbl,0 bbl,3428000,110,4,74676,30,799,$353000000,$16622000000,$7877000000,$85000000000,406752,LANDLOCKED,4655,3100
74,Iran,85888910,48097790,40367788,1374223,1015000,575000,350000,90000,22,543,197,23,85,96,9,7,126,12,2831,7600,1030,2108,2485,0,0,0,7,3,19,66,1,4250000 bbl,1804000 bbl,157200000000 bbl,30500000,893,4,223485,8484,319,$5000000000,$7995000000,$120600000000,$1044310000000,1648195,2440,5894,850
75,Albania,3088385,1513309,1284768,61768,8500,8000,0,500,99,19,0,0,0,0,0,0,19,0,0,76,0,0,0,0,0,0,0,0,0,19,0,14000 bbl,29000 bbl,168300000 bbl,1104000,70,4,3945,677,3,$192400000,$9311000000,$400000000,$38000000000,28748,362,691,41
76,Azerbaijan,10282283,5038319,3773598,154234,380000,65000,300000,15000,55,149,17,11,2,32,0,0,87,17,510,1762,167,319,291,0,0,0,1,0,4,13,7,800000 bbl,100000 bbl,7000000000 bbl,4939000,305,1,24981,2944,23,$1700000000,$17410000000,$6700000000,$140000000000,86600,713,2468,0
77,Georgia,4933674,2762857,2239888,74005,30400,25000,0,5400,76,66,0,10,2,12,0,0,38,9,143,554,74,186,67,0,0,0,0,0,0,31,0,400 bbl,27000 bbl,35000000 bbl,686000,25,2,20295,1363,22,$286020000,$18149000000,$3039000000,$52330000000,69700,310,1814,4349
78,Guatemala,17422821,7143357,5993450,365879,116500,21500,65000,30000,90,33,0,4,8,4,0,0,17,0,0,140,0,88,0,0,0,0,0,0,0,20,0,9500 bbl,89000 bbl,83070000 bbl,6664000,9,2,17621,800,291,$388000000,$22920000000,$11770000000,$142000000000,108889,400,1667,990
79,Jordan,10909567,3381966,2912854,141824,170000,90000,65000,15000,36,255,44,4,13,56,5,0,133,44,1401,3693,461,84,88,0,0,0,0,0,0,27,0,25 bbl,139000 bbl,1000000 bbl,731000,35,1,7203,509,18,$2053900000,$32088000000,$15560000000,$100160000000,89342,26,1744,540
80,Armenia,3011609,1686501,1382329,45174,259300,45000,210000,4300,78,64,4,10,2,10,0,0,36,20,288,673,38,145,94,,,,,,,,,0 bbl,8000 bbl,0 bbl,1507000,0,0,7700,780,7,$632500000,$11637000000,$2200000000,$40000000000,29743,LANDLOCKED,1570,0
81,Mongolia,3198913,1823380,1513086,60779,69000,9000,50000,10000,105,11,0,0,3,2,0,0,6,0,470,770,0,300,130,,,,,,,,,20000 bbl,27000 bbl,0 bbl,1241000,302,0,113200,1815,44,$91980000,$29945000000,$3016000000,$37600000000,1564116,LANDLOCKED,8082,580
82,Algeria,43576691,20916812,17779290,697227,465000,130000,135000,200000,21,552,103,22,58,87,9,5,268,45,2196,6461,545,450,334,0,0,0,5,6,6,25,0,1260000 bbl,405000 bbl,12200000000 bbl,10859000,114,12,104000,3973,149,$9700000000,$5574000000,$100000000000,$470000000000,2381741,998,6734,0
83,Sri Lanka,23044123,11061179,8964164,322618,266500,250000,5500,11000,70,86,5,0,17,6,2,0,56,9,182,600,0,164,22,0,0,0,5,0,0,59,0,0 bbl,116000 bbl,0 bbl,8000000,90,1,114093,1562,18,$1860000000,$55332000000,$7959000000,$274800000000,65610,1340,NONE - ISLAND,160
84,El Salvador,6528135,3133505,2474163,143619,46000,21000,10000,15000,83,47,0,13,3,2,0,0,29,0,0,125,0,70,0,0,0,0,0,0,0,3,0,0 bbl,52000 bbl,0 bbl,2908000,2,2,9012,15,68,$295680000,$17240000000,$3567000000,$52000000000,21041,307,590,0
85,Indonesia,275122131,134809844,111974707,4677076,1080000,400000,400000,280000,27,445,41,23,66,126,17,1,172,15,314,1444,153,413,63,0,0,0,7,24,4,181,11,775000 bbl,1601000 bbl,3310000000 bbl,129366000,10427,16,496607,8159,673,$9300000000,$393252000000,$130200000000,$3130470000000,1904569,54716,2958,21579
86,Bolivia,11758869,5173902,3927462,223419,50000,50000,0,0,79,63,0,0,14,21,0,0,28,0,36,152,0,40,0,,,,,,,,,60000 bbl,83000 bbl,211500000 bbl,5719000,45,5,90568,3690,855,$476970000,$12810000000,$10260000000,$95000000000,1098581,LANDLOCKED,7252,10000
87,Tunisia,11811335,5905668,5078874,200793,46000,36000,0,10000,54,151,11,0,9,29,0,0,102,0,145,954,0,86,0,0,0,0,0,0,0,36,0,40000 bbl,102000 bbl,425000000 bbl,4054000,71,5,20000,2173,29,$1177200000,$35911000000,$5594000000,$115000000000,163610,1148,1495,0
88,Angola,33642646,6728529,3364265,336426,117000,107000,0,10000,32,299,71,18,30,61,2,0,117,15,320,1210,28,585,118,0,0,0,0,0,0,37,2,1600000 bbl,130000 bbl,9523000000 bbl,12510000,54,6,26000,2852,102,$1059270000,$42080000000,$16995000000,$205700000000,1246700,1600,5369,1300
89,Bhutan,857423,197207,118324,4287,8000,8000,0,0,111,2,0,0,0,0,0,0,2,0,0,27,0,0,0,,,,,,,,,0 bbl,3000 bbl,0 bbl,397900,0,0,12205,0,2,$28908000,$2671000000,$1206000000,$8420000000,38394,LANDLOCKED,1136,0
90,Moldova,3323875,1994325,1655290,66478,19000,6000,12000,1000,97,21,0,0,1,4,0,0,16,4,10,381,9,69,25,,,,,,,,,0 bbl,18000 bbl,0 bbl,1295000,147,0,9352,1171,7,$47640000,$7232000000,$2803000000,$32260000000,33851,LANDLOCKED,1885,558
91,Morocco,36561813,17549670,14917220,621551,325000,200000,100000,25000,37,249,83,0,29,67,4,2,64,0,3335,3500,517,211,144,0,0,0,6,1,0,22,0,160 bbl,278000 bbl,684000 bbl,10399000,93,7,57300,2067,62,$5438823613,$52957000000,$26270000000,$259420000000,446550,1835,2363,0
92,Philippines,110818325,47651880,39118869,1994730,280000,130000,100000,50000,48,182,0,25,21,24,9,0,103,2,18,600,12,286,0,0,0,0,2,1,0,50,0,13000 bbl,424000 bbl,138500000 bbl,41533000,1805,5,216387,77,247,$4390000000,$81995000000,$81570000000,$871560000000,300000,36289,NONE - ISLAND,3219
93,Ukraine,43745640,22310276,15617193,481202,500000,200000,250000,50000,31,318,69,29,32,71,5,0,112,34,2596,12303,1067,2040,490,0,0,0,1,1,0,13,1,32000 bbl,233000 bbl,395000000 bbl,17990000,409,6,169694,21733,187,$11870000000,$117410000000,$18810000000,$515000000000,603550,2782,5618,2150
94,Vietnam,102789598,53450591,43788369,1747423,510000,470000,0,40000,42,218,75,0,9,30,4,0,99,0,2044,4420,50,599,760,0,0,0,9,14,6,54,8,245000 bbl,438000 bbl,4400000000 bbl,54659000,1926,8,195468,2600,45,$6237600000,$96580000000,$49500000000,$800000000000,331210,3444,4616,17702
95,Egypt,106437241,43639269,36614411,1596559,1230000,450000,480000,300000,8,1062,250,93,59,341,11,0,313,91,4394,10000,1165,2200,1235,0,2,0,13,7,8,48,23,640000 bbl,878000 bbl,4400000000 bbl,24113000,421,11,65050,5085,83,$4357200000,$109238000000,$35890000000,$1223040000000,1001450,2450,2612,3500
96,Laos,7574356,3332717,2401071,151487,75000,25000,0,50000,91,32,0,0,1,4,0,0,27,0,130,200,34,87,64,,,,,,,,,0 bbl,18000 bbl,0 bbl,3582000,1,0,39568,0,41,$38280000,$14900000000,$1270000000,$55000000000,236800,LANDLOCKED,5274,4600
97,Honduras,9346277,4112362,3084271,186926,99000,16000,60000,23000,85,44,3,9,11,10,1,0,10,0,19,92,0,86,0,0,0,0,0,0,0,60,0,0 bbl,59000 bbl,0 bbl,3735000,505,4,14742,699,103,$405110000,$9137000000,$4708000000,$50000000000,112090,832,1575,465
