,country,Total Population,Available Manpower,Fit-for-Service,Reaching Mil Age Annually,Tot Military Personnel (est.),Active Personnel,Reserve Personnel,Paramilitary,Manpower Composition,Total Aircraft Strength,Fighters/Interceptors,Dedicated Attack,Transports,Trainers,Special-Mission,Tanker Fleet,Helicopters,Attack Helicopters,Tanks,Armored Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Oil Proven Reserves,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Roadway Coverage,Railway Coverage,Airports,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,Square Land Area,Coastline Coverage,Shared Borders,Waterways (usable)
116,Yemen,30399243,11551712,8542187,577586,420000,45000,0,375000,49,177,76,0,8,30,2,0,61,14,200,300,10,43,50,0,0,0,0,2,0,15,3,61000 bbl,104000 bbl,3000000000 bbl,7425000,34,3,71300,0,57,$1010070000,$6805000000,$245400000,$65000000000,527968,1906,1601,0
117,Mali,20137527,6242633,3926818,322200,20000,18000,0,2000,94,29,9,0,6,4,1,0,9,7,80,264,0,50,32,,,,,,,,,0 bbl,22000 bbl,0 bbl,6447000,0,1,139107,593,25,$591260000,$4192000000,$647800000,$44000000000,1240192,LANDLOCKED,7908,0
118,Tajikistan,8990874,4135802,3263687,152845,15000,9500,0,5500,95,25,0,0,1,4,0,0,20,6,47,100,0,10,62,,,,,,,,,180 bbl,24000 bbl,12000000 bbl,2295000,0,0,30000,680,24,$90134000,$6470000000,$1292000000,$34880000000,143100,LANDLOCKED,4130,200
119,Ethiopia,110871031,53218095,33039567,2550034,150000,150000,0,0,69,90,23,0,9,26,0,0,32,7,340,110,67,470,183,,,,,,,,,0 bbl,74000 bbl,428000 bbl,52820000,11,2,120171,659,57,$538000000,$27270000000,$3013000000,$264050000000,1104300,LANDLOCKED,5925,0
120,Chad,17414108,6269079,3517650,348282,35000,30000,0,5000,89,35,0,6,7,4,2,0,16,3,90,691,10,15,16,,,,,,,,,135000 bbl,2300 bbl,1500000000 bbl,5654000,0,0,40000,0,59,$292610000,$1724000000,$22900000,$25000000000,1284000,LANDLOCKED,6406,0
121,Burkina Faso,21382659,7911584,5623639,342123,12250,12000,0,250,100,18,0,3,1,4,0,0,10,2,0,265,0,0,0,,,,,,,,,0 bbl,23000 bbl,0 bbl,8501000,0,0,15304,622,23,$434250000,$3056000000,$49000000,$45160000000,274200,LANDLOCKED,3611,0
122,Liberia,5214030,2294173,1835339,62568,2000,2000,0,0,142,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0 bbl,8000 bbl,0 bbl,1677000,3492,2,10600,429,29,$11800000,$826000000,$459800000,$6500000000,111369,579,1667,0
123,Uganda,44712143,15202129,8987141,894243,58500,47000,10000,1500,82,49,10,0,2,12,0,0,25,5,237,1056,6,35,26,,,,,,,,,0 bbl,32000 bbl,2500000000 bbl,15840000,0,3,20544,1244,47,$934250000,$13850000000,$3654000000,$95000000000,241038,LANDLOCKED,2729,0
124,Sierra Leone,6807277,1497601,898561,34036,9000,9000,0,0,109,4,0,0,0,0,0,0,4,2,0,20,0,0,0,0,0,0,0,0,0,7,0,0 bbl,6500 bbl,0 bbl,132000,591,3,11700,0,8,$19325000,$1615000000,$478000000,$13150000000,71740,402,1093,800
125,Madagascar,27534354,10463055,7434276,523153,23000,13000,0,10000,108,5,0,0,0,0,0,0,5,0,12,109,0,17,0,0,0,0,0,0,0,9,0,0 bbl,18000 bbl,0 bbl,13400000,27,4,31640,836,83,$109760000,$3085000000,$1600000000,$40000000000,587040,4828,NONE - ISLAND,600
126,Afghanistan,37466414,14611901,8242611,786795,60000,0,0,60000,142,0,0,0,0,0,0,0,0,0,0,530,0,60,13,,,,,,,,,0 bbl,35000 bbl,0 bbl,8478000,0,2,34903,0,46,$99050000,$284000000,$5000000000,$36000000000,652230,LANDLOCKED,5987,1200
127,Mozambique,30888034,13590735,7196912,494209,11000,11000,0,0,100,18,8,0,1,1,0,0,8,2,90,317,0,270,12,0,0,0,0,0,0,8,0,0 bbl,26000 bbl,0 bbl,12900000,30,3,31083,4787,98,$140200000,$10910000000,$3361000000,$38420000000,799380,2470,4783,460
128,Central African Republic,5357984,2089614,1189472,96444,11000,10000,0,1000,110,3,0,0,2,0,0,0,1,0,3,89,0,0,0,,,,,,,,,0 bbl,2800 bbl,0 bbl,2242000,0,2,24000,0,39,$41454000,$779900000,$304300000,$4500000000,622984,LANDLOCKED,5920,2800
129,Niger,23605767,7081730,4744759,401298,13000,10000,0,3000,102,16,0,2,5,0,2,0,7,1,0,182,0,0,0,,,,,,,,,9000 bbl,14000 bbl,150000000 bbl,6500000,1,0,18949,0,30,$287280000,$3728000000,$1314000000,$28970000000,1267000,LANDLOCKED,5834,300
130,Somalia,12094640,2781767,1669060,120946,17500,17500,0,0,142,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0 bbl,5600 bbl,0 bbl,4154000,4,2,15000,0,52,$63934000,$5300000000,$30450000,$13190000000,637657,3025,2385,0
