FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,WB_REGION,COUNTRY,CountrynameWEO,weo_code,ISO,STATE,LAT_DD,LON_DD,ON_OFF_LOC,year,FIELD_TYPE,SIZE_CLASS,SIZE_CLASS_CODE,EUR_MMBOE,oil_price,gas_price,firstdiscoyear,disco_cumu,disco_count,EUR_cumu,NPV_USD_n,defl_uscpi,NPV_USD_r,gdp_curr,gdp_const,NPV_GDP_n,NPV_GDP_r,DISCO_SOURCE1,DISCO_SOURCE2,DISCO_SOURCE3,DISCO_SOURCE4
1011,Claire,,C,WeSTERN EUROPE,ECA,United Kingdom,United Kingdom,112,GBR,,60.29999923706055,-3.099999904632568,Offshore,2018,Oil,Giant,1,640,68.34750000000004,.9211255622454793,1965,23,23,17220.904,13685.605,,,2825207.9475029,2858097.9530473,.48441055,,https://www.energyvoice.com/oilandgas/north-sea/186750/major-milestone-as-bp-hits-clair-ridge-first-oil/,,,
1012,Cape Three Points,,F,AFRICA,SSA,Ghana,Ghana,652,GHA,,4.5,-2.5,Offshore,2014,Oil,Giant,1,500,96.235,1.225798458333337,2007,3,3,2500,16066.388,1.0213425,15730.656,53601.1266651424,44283.9464070262,29.973974,35.522255,http://abarrelfull.wikidot.com/offshore-cape-three-points-gas-field,,,https://www.bloomberg.com/news/articles/2014-09-02/lukoil-said-to-discover-oil-in-ghana-s-cape-three-points-block
1013,Liza/Paraya,Liza-1,B,CENTRAL AND SOUTH AMERICA,LAC,Guyana,Guyana,336,GUY,,7.5,-56.5,Offshore,2015,Oil,Giant,1,3200,50.7527777777778,.8019657699923198,2015,1,2,3200,32921.434,1.0216202,32224.73,3197.22518159806,2831.91536403855,1029.6876,1137.913,https://news.exxonmobil.com/press-release/exxonmobil-advances-liza-phase-1-development,https://news.exxonmobil.com/press-release/exxonmobil-announces-significant-oil-discovery-offshore-guyana,,
1014,Pacora #1,,B,CENTRAL AND SOUTH AMERICA,LAC,Guyana,Guyana,336,GUY,,8,-57,Offshore,2018,Oil,Giant,1,500,68.34750000000004,.9211255622454793,2015,2,2,3700,11410.583,,,3610.43529887019,3089.50909221854,316.04453,,https://news.exxonmobil.com/press-release/exxonmobil-announces-seventh-oil-discovery-offshore-guyana,https://www.offshore-technology.com/news/exxon-mobil-encounters-oil-pacora-1-exploration-well-offshore-guyana/,https://www.upi.com/Energy-News/2018/02/28/Seventh-oil-discovery-made-offshore-Guyana/8721519825478/,https://www.offshore-technology.com/projects/liza-prospect-development-stabroek-block/
1015,Leviathan,,E,MIDDLE EAST,MNA,Israel,Israel,436,ISR,,32.79999923706055,33.59999847412109,Offshore,2010,Gas,Giant,1,3600,79.04077178471722,1.077184070436508,2009,2,2,4766.667,760.89459,.94427747,805.79559,233732.926323391,233732.926323391,.32554018,.34475058,https://www.offshore-technology.com/projects/leviathan-gas-field-levantine-israel/,,,
1016,Zama,,A,NORTH AMERICA,LAC,Mexico,Mexico,273,MEX,,19,-93.5,Offshore,2017,Oil,Giant,1,2000,52.805,.7375153891672981,1901,21,23,58722.676,24349.445,1.0479046,23236.318,1158071.00680962,1284905.25071535,2.1025865,1.8084072,https://www.offshore-technology.com/projects/zama-oil-discovery/,https://www.offshore-technology.com/projects/zama-oil-discovery/,http://www.zocalo.com.mx/reforma/detail/reporta-150-mdd-joya-petrolera,https://pubs.spe.org/en/jpt/jpt-article-detail/?art=3666
1017,Amoca,Amoca-3,A,NORTH AMERICA,LAC,Mexico,Mexico,273,MEX,MEX - Campeche,18.5,-93.5,Offshore,2017,Oil,Giant,1,1300,52.805,.7375153891672981,1901,22,23,60022.676,17782.305,1.0479046,16969.393,1158071.00680962,1284905.25071535,1.5355108,1.3206726,https://www.eni.com/en_IT/media/2017/07/a-new-offshore-well-in-mexico-boosts-enis-resources-in-the-amoca-field-triggering-a-fast-track-development,,,
1018,Amoca-2,,A,NORTH AMERICA,LAC,Mexico,Mexico,273,MEX,MEX - Campeche,18.5,-93.5,Offshore,2017,Oil,Giant,1,800,52.805,.7375153891672981,1901,23,23,60822.676,12458.281,1.0479046,11888.755,1158071.00680962,1284905.25071535,1.0757787,.92526317,https://www.ogj.com/articles/2017/03/eni-discovers-oil-with-first-mexico-well.html,https://www.ft.com/content/3c52824c-0fdc-11e7-b030-768954394623,https://www.efe.com/efe/america/mexico/eni-halla-crudo-por-encima-de-las-estimaciones-en-el-pozo-amoca-2-mexico/50000545-3216381,https://www.geoexpro.com/articles/2017/07/exploration-update-mexico
1019,Prosperidade,,F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-10.80000019073486,41,Offshore,2010,Gas,Supergiant,2,6000,79.04077178471722,1.077184070436508,1961,4,11,8706.6699,1099.6764,.94427747,1164.5691,10154.2382501818,10154.2382501818,10.829728,11.468799,http://abarrelfull.wikidot.com/prosperidade-gas-field,https://www.drillingcontractor.org/successful-flow-testing-program-paves-way-for-east-africa-field-development-19160,,
1020,Area 4 LNG (T1&T2),Area 4 LNG (T1&T2),F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-10.69999980926514,40.70000076293945,Offshore,2011,Gas,Giant,1,3000,104.0093975255258,1.23365417703824,1961,5,11,11706.67,763.67462,.96323586,792.82202,13131.168011807,10876.9769889172,5.8157401,7.2889924,https://www.eni.com/en_IT/media/2011/10/eni-announces-a-giant-gas-discovery-offshore-mozambique,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
