Country|Region|Lat|Lon|Type|Status|Amount
Russia|Druzhnoye|53.857222|38.798889|Metasomatite|Development|50,000-100,000
Russia|Dzhigda|57.546667|135.884444|Unknown|Exploration|2,500-5,000
Russia|Gornoye|52.284722|128.179444|Vein|Development|5,000-10,000
Russia|Istochnoe|57.845278|65.2125|Sandstone-Basal Channel|Exploration|1,000-2,500
Russia|Kedrovoye|57.1575|60.569722|Sandstone-Roll Front|Dormant|2,500-5,000
Russia|Kosmozero|62.355|35.024722|Metasomatite|Exploration|2,500-5,000
Russia|Lastochka|52.800556|102.784444|Volcanic|Dormant|2,500-5,000
Russia|Malinovskoye|55.526667|65.182222|Sandstone-Basal Channel|Exploration|10,000-25,000
Russia|Molodezhnoye|60.197778|29.515833|Vein|Dormant|2,500-5,000
Russia|Oktyabrskoye|51.235833|41.944444|Volcanic|Operating|10,000-25,000
Russia|Prigorodnoye|52.686667|87.323056|Sandstone-Roll Front|Dormant|2,500-5,000
Russia|Primorskoye|52.846389|156.308333|Sandstone-Roll Front|Dormant|5,000-10,000
Russia|Radionovskoye|60.2275|36.9875|Surficial|Dormant|2,500-5,000
Russia|Sanarskoye|46.936944|39.688056|Surficial|Depleted|2,500-5,000
Russia|Severnoe|55.616667|37.683333|Metasomatite|Development|50,000-100,000
Russia|Solonechnoye|55.829167|94.958333|Volcanic|Dormant|1,000-2,500
Russia|Stepnovskoye|44.3|44.583333|Phosphorite|Dormant|10,000-25,000
Russia|Stepnoye|51.379722|46.849167|Sandstone-Tabular|Dormant|10,000-25,000
Russia|Tsarevskoye|59.826944|82.212778|Metasomatite|Dormant|2,500-5,000
Russia|Tsentralnoye|59.036667|62.408056|Lignite|Dormant|2,500-5,000
Russia|Vershinnoye|58.690278|72.653056|Sandstone-Basal Channel|Exploration|5,000-10,000
Russia|Vinogradovskoye|55.271944|83.829722|Surficial|Exploration|2,500-5,000
Senegal|Saraya|13.001389|-11.796111|Vein|Exploration|1,000-2,500
Serbia|Cigankulja|44.4775|19.472222|Vein|Unknown|500-1,000
Serbia|Dojkinci|43.226944|22.783333|Sandstone-Tabular|Unknown|1,000-2,500
