15|Australia|64|Thatcher Soak|Surficial|Dormant|2,500-5,000
16|Australia|65|Trident|Volcanic|Dormant|< 500
17|Australia|66|Turee Creek|Unconformity-Proterozoic|Dormant|UNKNOWN
19|Australia|67|Two-Gee|Volcanic|Dormant|500-1,000
20|Australia|68|Valhalla|Metasomatite|Exploration|10,000-25,000
21|Australia|69|Walbiri|Sandstone-Tabular|Dormant|500-1,000
22|Australia|70|Warrior|Sandstone-Tabular|Exploration|2,500-5,000
23|Australia|72|White's|Unconformity-Proterozoic|Depleted|500-1,000
25|Australia|73|Yeelirrie|Surficial|Dormant|25,000-50,000
26|Bolivia|74|Cotaje|Sandstone-Tabular|Dormant|500-1,000
27|Botswana|1124|Mokobaesi|Surficial|Exploration|5,000-10,000
28|Botswana|1258|Serule|Sandstone-Basal Channel|Exploration|25,000-50,000
29|Brazil|75|Amorinopolis|Sandstone-Tabular|Dormant|2,500-5,000
30|Brazil|76|Campos Belos|Vein|Closed|< 500
31|Brazil|77|Espinharas|Metasomatite|Dormant|5,000-10,000
32|Brazil|78|Figueira|Sandstone-Tabular|Dormant|5,000-10,000
33|Brazil|79|Gandarela|Unknown|Dormant|1,000-2,500
34|Brazil|80|Itataia|Metasomatite|Development|> 100,000
35|Brazil|81|Lagoa Real|Metasomatite|Operating|50,000-100,000
36|Brazil|82|Pocos De Caldas|Volcanic|Reclamation|10,000-25,000
37|Brazil|83|Serra Des Gaivotas|Quartz-pebble|Feasibility study|UNKNOWN
39|Brazil|84|Serrotes Baixos|Unknown|Unknown|UNKNOWN
40|Bulgaria|85|Beslet|Vein|Depleted|500-1,000
41|Bulgaria|86|Biala Voda|Vein|Closed|1,000-2,500
42|Bulgaria|87|Bukhovo District|Vein|Depleted|5,000-10,000
43|Bulgaria|88|Dospat|Sandstone-|Depleted|500-1,000
45|Bulgaria|89|Eleshnitsa District|Sandstone-Tabular|Closed|5,000-10,000
46|Bulgaria|90|Gabra|Sandstone-Tabular|Closed|< 500
47|Bulgaria|91|Gradevo|Sandstone-Tabular|Fully explored|500-1,000
48|Bulgaria|92|Igralishte|Surficial|Depleted|500-1,000
49|Bulgaria|1127|Isgrew|Sandstone-Roll Front|Depleted|500-1,000
50|Bulgaria|1128|Kostenetz|Vein|Depleted|< 500
51|Bulgaria|93|Kurrilo|Sandstone-|Depleted|500-1,000
53|Bulgaria|1130|Marritza District|Sandstone-Roll Front|Dormant|2,500-5,000
54|Bulgaria|94|Melnik|Sandstone-Tabular|Depleted|500-1,000
55|Bulgaria|95|Momino District|Sandstone-Roll Front|Closed|2,500-5,000
56|Bulgaria|1244|Narretshen|Vein|Depleted|500-1,000
57|Bulgaria|1133|Okop-Tenevo|Sandstone-Tabular|Depleted|1,000-2,500
58|Bulgaria|96|Partisanska Polana|Vein|Depleted|< 500
59|Bulgaria|97|Pravoslaven, Haskovo|Sandstone-Roll Front|Closed|10,000-25,000
60|Bulgaria|98|Pripetchen-Deltshevo|Sandstone-Tabular|Dormant|500-1,000
61|Bulgaria|99|Proboinitsa|Vein|Closed|500-1,000
62|Bulgaria|100|Rosen|Vein|Depleted|500-1,000
63|Bulgaria|101|Sarnitsa and Planinetz|Volcanic|Depleted|1,000-2,500
64|Bulgaria|102|Saslyka Paleochannel|Sandstone-Roll Front|Closed|1,000-2,500
65|Bulgaria|103|Sborishte|Vein|Closed|500-1,000
2|Bulgaria|104|Simitli|Sandstone-Tabular|Closed|2,500-5,000
3|Bulgaria|105|Sliven|Vein|Depleted|500-1,000
4|Bulgaria|106|Smolian|Volcanic|Closed|2,500-5,000
5|Bulgaria|107|Smolianovtzi|Sandstone-Tabular|Depleted|1,000-2,500
6|Bulgaria|1245|Zdravetz|Vein|Dormant|1,000-2,500
7|Cameroon|155|Kitongo|Metasomatite|Exploration|10,000-25,000
8|Canada|1247|Abeta|Quartz-pebble|Dormant|2,500-5,000
10|Canada|981|Ace-Fay-Verna|Vein|Depleted|10,000-25,000
11|Canada|109|Agnew Lake|Quartz-pebble|Depleted|2,500-5,000
13|Canada|1138|Allied Zones|Intrusive|Dormant|2,500-5,000
14|Canada|982|Andrew Lake|Unconformity-Proterozoic|Feasibility study|10,000-25,000
16|Canada|1139|Apple|Quartz-pebble|Dormant|2,500-5,000
18|Canada|1038|Axe Lake|Intrusive|Unknown|500-1,000
19|Canada|1039|Baie Johan Beetz|Intrusive|Unknown|10,000-25,000
20|Canada|1248|Banana Lake|Quartz-pebble|Unknown|25,000-50,000
22|Canada|111|Bancroft|Intrusive|Dormant|2,500-5,000
23|Canada|1041|Bicroft|Intrusive|Depleted|1,000-2,500
24|Canada|1042|BJ|Unconformity-Proterozoic|Dormant|UNKNOWN
26|Canada|112|Blizzard|Sandstone-Basal Channel|Dormant|2,500-5,000
27|Canada|1043|Blue Rock|Intrusive|Unknown|UNKNOWN
28|Canada|983|Bong Grid|Unconformity-Proterozoic|Exploration|1,000-2,500
30|Canada|1141|Buckels|Quartz-pebble|Closed|500-1,000
32|Canada|1142|Calumet-Contact|Metasomatite|Unknown|500-1,000
33|Canada|1048|Canadian Dyno|Intrusive|Closed|1,000-2,500
34|Canada|1143|Can-Met|Quartz-pebble|Closed|5,000-10,000
36|Canada|1249|Capri 2|Intrusive|Unknown|< 500
37|Canada|984|Caribou|Unconformity-Proterozoic|Dormant|1,000-2,500
39|Canada|993|Cayzor|Vein|Depleted|500-1,000
40|Canada|1051|Centennial|Unconformity-Proterozoic|Exploration|UNKNOWN
42|Canada|113|Cigar Lake|Unconformity-Proterozoic|Development|> 100,000
44|Canada|114|Cluff Lake: Claude|Unconformity-Proterozoic|Depleted|10,000-25,000
46|Canada|117|Cluff Lake: D|Unconformity-Proterozoic|Depleted|2,500-5,000
48|Canada|999|Cluff Lake: Dominique-|Unconformity-Proterozoic|Depleted|1,000-2,500
50|Canada|998|Cluff Lake: Dominique-|Unconformity-Proterozoic|Depleted|10,000-25,000
52|Canada|115|Cluff Lake: N|Unconformity-Proterozoic|Depleted|1,000-2,500
54|Canada|1250|Cluff Lake: OP|Unconformity-Proterozoic|Depleted|1,000-2,500
56|Canada|116|Collins Bay A|Unconformity-Proterozoic|Closed|5,000-10,000
58|Canada|1000|Collins Bay B|Unconformity-Proterozoic|Depleted|10,000-25,000
60|Canada|1001|Collins Bay D|Unconformity-Proterozoic|Depleted|10,000-25,000
62|Canada|1251|Conecho|Quartz-pebble|Dormant|1,000-2500
64|Canada|1058|Cup Lake|Sandstone-Basal Channel|Dormant|< 500
65|Canada|118|Dawn Lake|Unconformity-Proterozoic|Dormant|2,500-5,000
2|Canada|126|Deilmann|Unconformity-Proterozoic|Depleted|25,000-50,000
4|Canada|119|Denison|Quartz-pebble|Closed|> 100,000
6|Canada|1252|Double S|Intrusive|Exploration|5,000-10,000
7|Canada|122|Eagle Point|Unconformity-Proterozoic|Operating|25,000-50,000
9|Canada|1145|Eco Ridge Mine (Elliot|Quartz-pebble|Exploration|10,000-25,000
11|Canada|1010|Eldorado (Port Radium)|Vein|Depleted|2,500-5,000
12|Canada|123|Eldorado-Hab|Vein|Depleted|500-1,000
13|Canada|1064|Empire B Zone|Intrusive|Unknown|500-1,000
14|Canada|985|End Grid|Unconformity-Proterozoic|Feasibility study|10,000-25,000
16|Canada|1065|Fish Hook Bay Mine|Vein|Depleted|< 500
17|Canada|986|Fond du Lac|Unconformity-Proterozoic|Dormant|< 500
19|Canada|1253|Gaertner|Unconformity-Proterozoic|Depleted|25,000-50,000
21|Canada|1067|Gear|Volcanic|Dormant|< 500
22|Canada|120|Greyhawk|Intrusive|Closed|500-1,000
23|Canada|124|Gunnar|Vein|Depleted|10,000-25,000
24|Canada|1069|Hab|Vein|Depleted|500-1,000
25|Canada|1147|Haynes|Sandstone-Basal Channel|Dormant|500-1,000
26|Canada|988|Horseshoe|Unconformity-Proterozoic|Exploration|5,000-10,000
28|Canada|121|Houseshol|Unknown|Unknown|5,000-10,000
29|Canada|1148|Hydraulic Lake|Sandstone-Basal Channel|Dormant|1,000-2,500
30|Canada|1073|Inda|Volcanic|Dormant|500-1,000
31|Canada|1075|Jacques Lake|Volcanic|Exploration|5,000-10,000
32|Canada|125|Jeb|Unconformity-Proterozoic|Depleted|1,000-2,500
34|Canada|1003|Kiggavik Centre|Unconformity-Proterozoic|Feasibility study|2,500-5,000
36|Canada|1004|Kiggavik East|Unconformity-Proterozoic|Feasibility study|500-1,000
38|Canada|127|Kiggavik Main|Unconformity-Proterozoic|Feasibility study|10,000-25,000
40|Canada|128|Kitts|Volcanic|Dormant|1,000-2,500
41|Canada|1150|L|Unconformity-Proterozoic|Dormant|1,000-2,500
43|Canada|1078|Lac Cinquante|Vein|Exploration|2,500-5,000
44|Canada|1152|Lac Gayot|Other|Exploration|25,000-50,000
45|Canada|137|Lacnor|Quartz-pebble|Depleted|5,000-10,000
47|Canada|1079|Lake Cinch Mine|Vein|Dormant|< 500
48|Canada|1080|LaRocque Lake|Unconformity-Proterozoic|Dormant|1,000-2,500
50|Canada|129|Lorado|Vein|Dormant|500-1,000
51|Canada|130|Madawaska|Intrusive|Closed|2,500-5,000
52|Canada|1083|Matoush|Other|Development|5,000-10,000
53|Canada|131|Maurice Bay|Unconformity-Proterozoic|Dormant|500-1,000
55|Canada|991|Maverick Zone|Unconformity-Proterozoic|Exploration|UNKNOWN
