 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M3095|Jinhui Longtai Coal Mine||山西金晖隆泰煤业有限公司|https://www.gem.wiki/Jinhui_Longtai_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%87%91%E6%99%96%E9%9A%86%E6%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Jinhui Longtai Coal Industry Company|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|0.9||Underground|Longwall|7.67|1270|Exact|425|Bituminous|Met|34|-|-|-|-|-|-|38|2012|17|Qinshui Coalfield|Podi Village, Wanghe Town|Changzhi|Shanxi|China|156|East Asia|36.973205|112.135386|Exact||||18.3|26.4|0.5|2.36
M1152|Jining Coal Mine||山西华晋吉宁煤业有限责任公司|https://www.gem.wiki/Jining_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%8D%8E%E6%99%8B%E5%90%89%E5%AE%81%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Huajin Coking Coal Company|Shanxi Coking Coal Group|Shanxi Coking Coal Group|China|Capacity|3||Underground|Longwall|17.6843|456|Estimate|618|Bituminous|Met|83|-|-|-|-|-|-|28|2016|20|Hedong|Zaoling Town|Linfen|Shanxi|China|156|East Asia|35.802002|110.580986|Exact||||13.2|63.4|1.3|7.87
M1997|Jining Gucheng Coal Mine||山东东山古城煤矿有限公司|https://www.gem.wiki/Jining_Gucheng_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E4%B8%9C%E4%B8%9C%E5%B1%B1%E5%8F%A4%E5%9F%8E%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shandong Dongshan Gucheng Coal Mine Company|Yankuang Group|Yankuang Group|China|Capacity|1.2||Underground|Longwall|16.6621|1191|Exact|1695|Bituminous|Met|19|-|-|-|-|-|-|15|2001|11|Jining|Xinyan|Jining|Shandong|China|156|East Asia|35.580114|116.838197|Exact||||18|34.6|0.7|3.15
M1153|Jining No. 2 Coal Mine||兖州煤业股份有限公司济宁二号煤矿|https://www.gem.wiki/Jining_No.2_Coal_Mine|https://www.gem.wiki/%E5%85%96%E5%B7%9E%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B5%8E%E5%AE%81%E4%BA%8C%E5%8F%B7%E7%85%A4%E7%9F%BF|Operating||||Yanzhou Coal Mining Company Limited|Shandong Yanzhou Mining Group|Shandong Yanzhou Mining Group|China|Capacity|3.9||Underground||87.1|456|Estimate|3607|Bituminous|Thermal|70|-|-|-|-|-|-|18|1997|17|Yanzhou|Jiezhuang|Jining|Shandong|China|156|East Asia|35.358761|116.656872|Exact||||13.2|82.4|1.6|9.36
M0266|Jining No. 3 Coal Mine||兖州煤业股份有限公司济宁三号煤矿|https://www.gem.wiki/Jining_No.3_Coal_Mine|https://www.gem.wiki/%E5%85%96%E5%B7%9E%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B5%8E%E5%AE%81%E4%B8%89%E5%8F%B7%E7%85%A4%E7%9F%BF|Operating||||Yanzhou Coal Mining Company|Yankuang Group (46%), HKSCC Nominees Limited (40%), Others (14%)|Yankuang Group (46%), HKSCC Nominees Limited (40%), Others (14%)|China|Capacity|6.5||Underground||105.10|456|Estimate||Bituminous|Thermal|121|-|-|-|-|-|-|19|2000|19||Shiqiao Town|Jining|Shandong|China|156|East Asia|35.274389|116.667245|Exact||||13.2|137.3|2.7|15.60
M1998|Jinjia Coal Mine||贵州盘江精煤股份有限公司金佳矿|https://www.gem.wiki/Jinjia_Coal_Mine|https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E7%9B%98%E6%B1%9F%E7%B2%BE%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E4%BD%B3%E7%9F%BF|Operating||||Guizhou Panjiang Refined Coal Company|Guizhou Panjiang Coal and Electricity Group Company|Guizhou Panjiang Coal and Electricity Group|China|Capacity|2.45||Underground|Longwall|41.674|456|Estimate|2922|Anthracite|Thermal|327|-|-|-|-|-|-|133|1996|95|Liupanshui|Gangou Bridge|Liupanshui|Guizhou|China|156|East Asia|25.706641|104.489688|Exact||||23.5|92.1|1.8|6.32
M1154|Jinjiaqu Coal Mine||神华宁夏煤业集团金家渠煤矿|https://www.gem.wiki/Jinjiaqu_Coal_Mine|https://www.gem.wiki/神华宁夏煤业集团金家渠煤矿|Operating|Test Operation|||Shenhua Ningxia Coal Industry Group|National Energy Investment Group (51%), Ningxia State-Owned Asset Operation Group (49%）|China Energy (51%), Ningxia State-Owned Asset Operation Group (49%）|China|Capacity|4||Underground||26.886|456|Estimate||Bituminous||336|-|-|-|-|-|-|84||60||Dashuikeng|Wuzhong|Ningxia|China|156|East Asia|37.557738|106.866842|Exact||||13.2|84.5|1.7|9.60
M1999|Jinjiazhuang Coal Mine||山西柳林金家庄煤业有限公司|https://www.gem.wiki/Jinjiazhuang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9F%B3%E6%9E%97%E9%87%91%E5%AE%B6%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Liulin Jinjiazhuang Coal Industry Company|Worldman Industrial (HK) Limited|Worldman Industrial (HK) Limited|China|Capacity|1.75||Underground|Longwall|6.0842|456|Estimate|1607|Bituminous|Met|24|-|-|-|-|-|-|14|2001|9|Hedong|Qianzhuangshang Village, Jinjiazhuang Township|Luliang|Shanxi|China|156|East Asia|37.344011|110.932997|Exact||||13.2|37.0|0.7|4.59
M0267|Jinjie Coal Mine||陕西国华锦界能源责任有限公司锦界煤矿|https://www.gem.wiki/Jinjie_coal_mine|https://www.gem.wiki/中国神华能源股份有限公司大柳塔煤矿|Operating||||Shaanxi Guohua Jinjie Energy|National Energy Investment Group (49%), State Grid Corporation of China (30%), Others (21%)|China Energy (49%), State Grid Corporation of China (30%), Others (21%)|China|Capacity|18||Underground||141.77|456|Estimate|766|Bituminous|Thermal|1578|-|-|-|-|-|-|88|2010|53|Yu Shen|Yaozhen Town|Yulin|Shaanxi|China|156|East Asia|38.742365|110.171171|Exact||||13.2|380.2|7.6|43.19
M0268|Jinjitan Coal Mine||陕西未来能源化工有限公司金鸡滩煤矿|https://www.gem.wiki/Jinjitan_Coal_Mine|https://www.gem.wiki/%E9%99%95%E8%A5%BF%E6%9C%AA%E6%9D%A5%E8%83%BD%E6%BA%90%E5%8C%96%E5%B7%A5%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E9%B8%A1%E6%BB%A9%E7%85%A4%E7%9F%BF|Operating||||Shaanxi Future Energy Chemical Company|Yankuang Group (62%), Shaanxi Yanchang Petroleum Group (19%), Jiaxing Dejian Investment Partnership (5%), Others (14%)|Yankuang Group (62%), Shaanxi Yanchang Petroleum Group (19%), Jiaxing Dejian Investment Partnership (5%), Others (14%)|China|Capacity|8||Underground||107.89|456|Estimate|2146|Bituminous|Thermal|898|-|-|-|-|-|-|112|2018|87||Jinjitan Town|Yulin|Shaanxi|China|156|East Asia|38.506707|109.819371|Exact||||13.2|169.0|3.4|19.20
M0268|Jinjitan Coal Mine||陕西未来能源化工有限公司金鸡滩煤矿|https://www.gem.wiki/Jinjitan_Coal_Mine|https://www.gem.wiki/%E9%99%95%E8%A5%BF%E6%9C%AA%E6%9D%A5%E8%83%BD%E6%BA%90%E5%8C%96%E5%B7%A5%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E9%B8%A1%E6%BB%A9%E7%85%A4%E7%9F%BF|Proposed|Construction|Expansion||Shaanxi Future Energy Chemical Company|Yankuang Group (62%), Shaanxi Yanchang Petroleum Group (19%), Jiaxing Dejian Investment Partnership (5%), Others (14%)|Yankuang Group (62%), Shaanxi Yanchang Petroleum Group (19%), Jiaxing Dejian Investment Partnership (5%), Others (14%)|China|Capacity|7||Underground||107.89|456|Estimate||Bituminous|Thermal|898|-|-|-|-|-|-|128|2018|87||Jinjitan Town|Yulin|Shaanxi|China|156|East Asia|38.506707|109.819371|Exact||||13.2|147.8|3.0|16.80
M3096|Jinmei Pingshang Coal Mine||山西晋煤集团坪上煤业有限公司|https://www.gem.wiki/Jinmei_Pingshang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E5%9D%AA%E4%B8%8A%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8#.E9.A1.B9.E7.9B.AE.E4.BF.A1.E6.81.AF|Operating||||Shanxi Jinmei Group Pingshang Coal Industry Company|Jinneng Holding Group Company|Jinneng Group|China|Capacity|0.9||Underground|Longwall|9.4|456|Estimate|1290|Anthracite|Thermal|36|-|-|-|-|-|-|40|2011|28|Qinshui Coalfield|Duanshi Town|Jincheng|Shanxi|China|156|East Asia|35.648625|112.51252|Exact||||23.5|33.8|0.7|2.32
M0269|Jinneng Coal Mine||霍州煤电集团金能煤业有限公司|https://www.gem.wiki/Jinneng_coal_mine|https://www.gem.wiki/霍州煤电集团金能煤业有限公司|Proposed|Construction|New||Huozhou Coal and Electricity Group|China Huadian (49%), Shanxi Coking Coal Group (30%), China Cinda Asset Management Company (20%), China Construction Bank Corporation (1%)|China Huadian (49%), Shanxi Coking Coal Group (30%), China Cinda Asset Management (20%), China Construction Bank (1%)|China|Capacity|1.2||Underground||20.42|456|Estimate||Bituminous|Met|240|-|-|-|-|-|-|200|TBD|98|Jinzhong||Xinzhou|Shanxi|China|156|East Asia|38.401258|112.022623|Exact||||13.2|25.3|0.5|3.15
M2000|Jinping Coal Mine||山西襄矿晋平煤业有限公司|https://www.gem.wiki/Jinping_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E8%A5%84%E7%9F%BF%E6%99%8B%E5%B9%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Xiangkuang Group Company|Shanxi Xiangkuang Group Company|Shanxi Xiangkuang Group Company|China|Capacity|2.4||Underground|Longwall|16.55|456|Estimate|2288|Bituminous|Thermal|35|-|-|-|-|-|-|15|||Qinshui|Xiadian Town|Changzhi|Shanxi|China|156|East Asia|36.508637|112.968938|Exact||||13.2|50.7|1.0|5.76
M2001|Jinpushan Coal Mine||山西省晋城晋普山煤业有限责任公司（曾用名：山西省晋普山煤矿）|https://www.gem.wiki/Jinpushan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%9C%81%E6%99%8B%E5%9F%8E%E6%99%8B%E6%99%AE%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Shanxi Jincheng Jinpushan Coal Industry Company|Shanxi Zhenghua Industrial Group Company|Shanxi Zhenghua Industrial Group Company|China|Capacity|1.3||Underground|Longwall|28.2664|740|Exact|1103|Anthracite|Thermal|19|-|-|-|-|-|-|15|1976|2|Qinshui|Sijiang Village, Nancun Town|Jincheng|Shanxi|China|156|East Asia|35.438319|112.789793|Exact||||26.6|55.3|1.1|3.35
M2002|Jinrui Coal Mine||山西煤炭运销集团锦瑞煤业有限公司|https://www.gem.wiki/Jinrui_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E9%9B%86%E5%9B%A2%E9%94%A6%E7%91%9E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Coal Transportation and Marketing Group Jinrui Coal Industry Company|Jinneng Holding Group|Jinneng Group|China|Capacity|1.2||Underground|Longwall|6.1518|456|Estimate|310|Bituminous|Met|22|-|-|-|-|-|-|18|2009|13|Hedong|Pingtou|Luliang|Shanxi|China|156|East Asia|37.695724|110.972761|Exact||||13.2|25.3|0.5|3.15
M2003|Jinsheng Yixin Coal Mine||山西晋煤集团晋圣亿欣煤业有限公司|https://www.gem.wiki/Jinsheng_Yixin_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E6%99%8B%E5%9C%A3%E4%BA%BF%E6%AC%A3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Jinmei Group Jinsheng Yixin Coal Industry Company|Jinneng Holding Group|Jinneng Group|China|Capacity|1.2||Underground|Longwall|31.5167|1070|Exact|1296|Anthracite|Thermal|78|-|-|-|-|-|-|65|2011|45|Qinshui|Yaodu Village, Longgang Town|Jincheng|Shanxi|China|156|East Asia|35.660252|112.017175|Exact||||28.4|54.5|1.1|3.10
M2319|Jintai Changtan Coal Mine||内蒙古锦泰能源有限公司长滩煤矿|https://www.gem.wiki/Jintai_Changtan_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%94%A6%E6%B3%B0%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%BF%E6%BB%A9%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Jintai Energy Group|Inner Mongolia Jintai Energy Group Company|Inner Mongolia Jintai Energy Group|China|Capacity|2.4||Underground|||456|Estimate|274|Bituminous|Thermal|-|-|-|-|-|-|-|-|2010|||Xuejiawan Town|Ordos|Inner Mongolia|China|156|East Asia|39.609565|111.165266|Exact||||13.2|50.7|1.0|5.76
M2004|Jintong Coal Mine||内蒙古华电蒙能金通煤业有限公司|https://www.gem.wiki/Jintong_Caol_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%8E%E7%94%B5%E8%92%99%E8%83%BD%E9%87%91%E9%80%9A%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Inner Mongolia Huadian Mengneng Jintong Coal Industry Company|China Huadian Group Company|China Huadian|China|Capacity|1.5||Underground|Longwall|24.5071|130|Exact|300|Bituminous|Thermal|45|-|-|-|-|-|-|30|2006|23|Dongsheng|Talahao Town|Ordos|Inner Mongolia|China|156|East Asia|39.780217|110.211983|Exact||||6.4|15.4|0.3|3.60
M3097|Jintong Shashi Coal Mine||山西怀仁南窑晋通砂石煤业有限公司|https://www.gem.wiki/Jintong_Shashi_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%80%80%E4%BB%81%E5%8D%97%E7%AA%91%E6%99%8B%E9%80%9A%E7%A0%82%E7%9F%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Huairen Nanyao Jintong Shashi Coal Industry Company|Huairen Nanyao Coal Industry Company|Huairen Nanyao Coal Industry Company|China|Capacity|0.9||Underground|Longwall|4.10|456|Estimate|274|Bituminous|Thermal|31|-|-|-|-|-|-|35|2004|11|Ningwu Coalfield|Wujiayao Village, Wujiayao Town|Shuozhou|Shanxi|China|156|East Asia|39.801579|112.854766|Exact||||13.2|19.0|0.4|2.16
M3098|Jinxinda Coal Mine||山西煤炭运销集团金辛达煤业有限公司|https://www.gem.wiki/Jinxinda_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E9%9B%86%E5%9B%A2%E9%87%91%E8%BE%9B%E8%BE%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Coal Transportation and Marketing Group Jinxinda Coal Industry Company|Shanxi State-Owned Capital Investment and Operation Company|Shanxi State-Owned Capital Investment and Operation Company|China|Capacity|1.5||Underground|Longwall|11.00|700|Exact|487|Bituminous|Met|-|-|-|-|-|-|79|-|2014||Huoxi Coalfield|Majialiang Village, Zhentou Township|Linfen|Shanxi|China|156|East Asia|36.199837|111.302679|Exact||||15.6|37.4|0.7|3.93
M2944|Jinyang Coal Mine||山西通洲集团晋杨煤业有限公司|https://www.gem.wiki/Jinyang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%80%9A%E6%B4%B2%E9%9B%86%E5%9B%A2%E6%99%8B%E6%9D%A8%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Tongzhou Group Jinyang Coal Industry Company|Shanxi Tongzhou Coal and Coke Group Company (100%)|Shanxi Tongzhou Coal and Coke Group Company (100%)|China|Capacity|0.9||Underground||10.2996|456|Estimate|50|Bituminous||-|-|-|-|-|-|-|-|2021||||Changzhi|Shanxi|China|156|East Asia|36.562088|112.467575|Approximate||||13.2|19.0|0.4|2.16
M2374|Jinyuanli Coal Mine||内蒙古源源能源集团有限责任公司金源里煤矿(又名：内蒙古源源能源集团金源里井工矿业有限责任公司)|https://www.gem.wiki/Jinyuanli_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%BA%90%E6%BA%90%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%87%91%E6%BA%90%E9%87%8C%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Yuanyuan Energy Group Jinyuanli Jinggong Mining Company|Harvest Team (China) Company Limited|Harvest Team (China) Company Limited|China|Capacity|1.2||Underground|Longwall|25.261|456|Estimate|450|Lignite|Thermal|24|-|-|-|-|-|-|20|2007||Huolinhe|Yuanyuan Industrial Park|Tongliao|Inner Mongolia|China|156|East Asia|45.46561|119.538079|Exact||||4.3|8.3|0.2|1.42
M1155|Jinzhengtai Surface Mine||准格尔旗金正泰煤炭有限责任公司|https://www.gem.wiki/Jinzhengtai_Surface_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E9%87%91%E6%AD%A3%E6%B3%B0%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Zhungeer Jinzhengtai Coal Company|Shandong Energy Group|Shandong Energy|China|Capacity|3||Surface|Open Pit|9.5842|60|Estimate|119|Bituminous|Thermal|42|-|-|-|-|-|-|14|2012||Jungar|Xuejiawan Town|Ordos|Inner Mongolia|China|156|East Asia|39.868788|111.337833|Exact||||3.5|15.8|0.3|7.20
M2006|Jiudaoling Coal Mine||辽宁九道岭煤业有限公司|https://www.gem.wiki/Jiudaoling_Coal_Mine|https://www.gem.wiki/%E8%BE%BD%E5%AE%81%E4%B9%9D%E9%81%93%E5%B2%AD%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Liaoning Jiudaoling Coal Industry Company|Liaoning Pingan Economic and Trade Company|Liaoning Pingan Economic and Trade Company|China|Capacity|1.1||Underground|Longwall|11.7147|825|Exact|1562|Bituminous|Thermal|24|-|-|-|-|-|-|22|2006|15|Fuxin|Jiudaoling Town|Jinzhou|Liaoning|China|156|East Asia|41.635208|121.332877|Exact||||16.4|28.9|0.6|2.64
M2007|Jiulishan Coal Mine||河南焦煤能源有限公司九里山矿|https://www.gem.wiki/Jiulishan_Coal_Mine|https://www.gem.wiki/%E6%B2%B3%E5%8D%97%E7%84%A6%E7%85%A4%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B9%9D%E9%87%8C%E5%B1%B1%E7%9F%BF|Operating||||Henan Coking Coal Energy|Henan Energy Chemical Group Company|Henan Energy Chemical Group|China|Capacity|1||Underground|Longwall|17.5|456|Estimate|2844|Anthracite|Thermal|62|-|-|-|-|-|-|62|1983|44|Jiaozuo|Lucun, Yanma Sub-district Office,|Jiaozuo|Henan|China|156|East Asia|35.308731|113.410586|Exact||||23.5|37.6|0.8|2.58
M2008|Jiulong Coal Mine||冀中能源峰峰集团邯郸宝峰矿业有限公司九龙矿|https://www.gem.wiki/Jiulong_Coal_Mine|https://www.gem.wiki/%E5%86%80%E4%B8%AD%E8%83%BD%E6%BA%90%E5%B3%B0%E5%B3%B0%E9%9B%86%E5%9B%A2%E9%82%AF%E9%83%B8%E5%AE%9D%E5%B3%B0%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B9%9D%E9%BE%99%E7%9F%BF|Operating||||Jizhong Energy Fengfeng Group Handan Baofeng Mining Company Jiulong Coal Mine|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|1.68||Underground|Longwall|20.2268|600|Exact|2752|Bituminous|Met|67|-|-|-|-|-|-|40|1991|28|Hanxing|Shangzhuang Village, Lucun Ying Township|Handan|Hebei|China|156|East Asia|36.430453|114.261748|Exact||||14.8|39.8|0.8|4.41
M2009|Jixian Coal Mine||黑龙江龙煤矿业集团股份有限公司双鸭山分公司集贤煤矿|https://www.gem.wiki/Jixian_Coal_Mine|https://www.gem.wiki/%E9%BB%91%E9%BE%99%E6%B1%9F%E9%BE%99%E7%85%A4%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%8C%E9%B8%AD%E5%B1%B1%E5%88%86%E5%85%AC%E5%8F%B8%E9%9B%86%E8%B4%A4%E7%85%A4%E7%9F%BF|Operating||||Heilongjiang Longmei Mining Group Shuangyashan Branch|Heilongjiang Longmay Mining Holding Group Company|Heilongjiang Longmay Mining Holding Group|China|Capacity|1.8||Underground|Longwall|42.3|350|Exact||Bituminous|Thermal & Met|50|-|-|-|-|-|-|28|1947|19|Shuangyashan-Jixian|Jixian Street|Shuangyashan|Heilongjiang|China|156|East Asia|46.765679|131.264976|Exact||||11.8|34.0|0.7|4.32
M2010|Jizhong Xin'an Coal Mine||冀中能源峰峰集团有限公司辛安矿|https://www.gem.wiki/Jizhong_Xin%27an_Coal_Mine|https://www.gem.wiki/%E5%86%80%E4%B8%AD%E8%83%BD%E6%BA%90%E5%B3%B0%E5%B3%B0%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%BE%9B%E5%AE%89%E7%9F%BF|Operating||||Jizhong Energy Fengfeng Group Company Xin'an Coal Mine|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|1.5||Underground|Longwall|15.2807|500|Exact|1461|Bituminous|Met|8|-|-|-|-|-|-|5|1971|7|Hanxing|Jiecheng Town|Handan|Hebei|China|156|East Asia|36.340737|114.123909|Exact||||13.8|33.1|0.7|3.93
M2011|Jude Coal Mine||山西柳林宏盛聚德煤业有限公司|https://www.gem.wiki/Jude_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9F%B3%E6%9E%97%E5%AE%8F%E7%9B%9B%E8%81%9A%E5%BE%B7%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Liulin Hongsheng Jude Coal Industry Company|Shanxi Fulin Investment Company|Shanxi Fulin Investment Company|China|Capacity|1.5||Underground|Longwall|16.4362|790|Exact|1141|Bituminous|Met|53|-|-|-|-|-|-|35|2011|22|Hedong|Jucaita Village, Chengjiazhuang Town|Luliang|Shanxi|China|156|East Asia|37.505767|110.873905|Exact||||16.2|38.9|0.8|3.93
M1156|Junde Coal Mine||黑龙江龙煤矿业集团股份有限公司鹤岗分公司峻德煤矿|https://www.gem.wiki/Junde_Coal_Mine|https://www.gem.wiki/%E9%BB%91%E9%BE%99%E6%B1%9F%E9%BE%99%E7%85%A4%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%B9%A4%E5%B2%97%E5%88%86%E5%85%AC%E5%8F%B8%E5%B3%BB%E5%BE%B7%E7%85%A4%E7%9F%BF|Operating||||Heilongjiang Longmei Mining Industry Group Hegang Branch|Heilongjiang Longmei Mining Holding Group Company|Heilongjiang Longmei Mining Group Company|China|Capacity|4||Underground|Longwall|19.6|700|Exact||Bituminous|Met|251|-|-|-|-|-|-|63|1981|42|Hegang||Hegang|Heilongjiang|China|156|East Asia|47.189119|130.239966|Exact||||15.6|99.8|2.0|10.49
M3103|Jungar Bu'erdong Coal Mine||准格尔旗弓家塔布尔洞煤炭有限责任公司煤矿|https://www.gem.wiki/Jungar_Bu'erdong_Coal_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%BC%93%E5%AE%B6%E5%A1%94%E5%B8%83%E5%B0%94%E6%B4%9E%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Operating|Test Operation|||Jungar Banner Gongjia Bu'erdong Coal Co., Ltd.|Inner Mongolia Huineng Coal and Electricity Group Co., Ltd.|Beijing Huayuan Jiaxin Investment Company|China|Capacity|1.2||Surface|Open Pit|11.81|280|Estimate||Bituminous|Thermal|39|-|-|-|-|-|51|32|||Jungar Coalfield|Narisong Town|Ordos City|Inner Mongolia|China|156|East Asia|39.400833|110.480833|Exact||||10.5|18.9|0.4|2.88
M3104|Jungar Gonggou Coal Mine||准格尔旗公沟煤炭有限责任公司煤矿|https://www.gem.wiki/Jungar_Gonggou_Coal_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%85%AC%E6%B2%9F%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Proposed|Construction|Expansion||Inner Mongolia Huineng Coal and Electricity Group Co., Ltd.|Inner Mongolia Huineng Coal and Electricity Group Co., Ltd.|Beijing Huayuan Jiaxin Investment Company|China|Capacity|1.2||Surface|Open Pit|9.32|280|Estimate||Bituminous|Thermal|72|-|-|-|-|-|117|60|TBD||Dongsheng Coalfield|Jungarzhao Town|Ordos City|Inner Mongolia|China|156|East Asia|39.669395|110.306898|Exact||||10.5|18.9|0.4|2.88
