 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M3000|Angus Place West Coal Mine|||https://www.gem.wiki/Angus_Place_Colliery||Proposed|Pre-Permit|New||Centennial Coal Angus Place|Centennial Coal Angus Place|Banpu|Thailand|Capacity|2||Underground|Bord and Pillar||500|Estimate|200|Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD|8|Western|Lithgow||New South Wales|Australia|36|Australia & NZ|-33.349157|150.199019|Approximate||||4.5|14.4|0.3|3.57
M0005|Appin Coal Mine|West Cliff||https://www.gem.wiki/Appin_mine||Operating||||Illawarra Coal|Illawarra Coal|South32|Australia|Production|1.4||Underground|Longwall||550|Exact|875|Bituminous|Met|157|24|133|157|-|-|702|112|1962||Southern|Appin||New South Wales|Australia|36|Australia & NZ|-34.211194|150.792736|Exact|Terminal (Export)|Port Kembla Coal Terminal|https://www.gem.wiki/Port_Kembla_Coal_Terminal|14.3|32.0|0.6|3.67
M0006|Aquila Coal Mine|||https://www.gem.wiki/Aquila_Mine||Operating||||Mastermyne|Mastermyne|Anglo American (70%), Mitsui Holdings (30%)|England|Capacity|5||Underground|Longwall||175|Exact||Bituminous|Met|45|-|-|-|-|-|42|9|2024|6||Middlemount||Queensland|Australia|36|Australia & NZ|-22.990997|148.580506|Approximate||||7.8|62.4|1.2|13.11
M0007|Ashton Coal Mine|Ashton South East||https://www.gem.wiki/Ashton_coal_project||Cancelled|Permitted|Expansion||Ashton Coal Operations|Yanzhou Coal Mining Company|Yancoal|China|Capacity|2.4||Surface|Open Pit||60|Estimate|160|Bituminous|Thermal & Met|-|-|-|-|-|-|-|-|2026|7|Hunter|Singleton||New South Wales|Australia|36|Australia & NZ|-32.468942|151.078493|Exact|Terminal (Export)|Port of Newcastle|https://www.gem.wiki/Port_of_Newcastle|3.5|12.6|0.3|5.76
M0007|Ashton Coal Mine|Watagan||https://www.gem.wiki/Ashton_coal_project||Operating||||Ashton Coal Operations|Yanzhou Coal Mining Company|Yancoal|China|Production|1.2||Underground|Longwall|3.15|200|Exact||Bituminous|Thermal & Met|49|10|39|85|-|-|260|41|2004|9|Hunter|Singleton||New South Wales|Australia|36|Australia & NZ|-32.468942|151.078493|Exact|Terminal (Export)|Port of Newcastle|https://www.gem.wiki/Port_of_Newcastle|8.6|16.5|0.3|2.88
M0008|Baralaba Coal Mine|Baralaba South||https://www.gem.wiki/Baralaba_coal_mine||Proposed|Pre-Permit|New||Mount Ramsay Coal Company|Baralaba Coal Company|AMCI|USA|Capacity|1.9||Surface|Open Pit|22|60|Estimate|275|Bituminous|Thermal & Met|79|-|-|-|-|-|166|42|2023||Bowen|Baralaba||Queensland|Australia|36|Australia & NZ|-24.256025|149.851007|Exact||||3.5|10.0|0.2|4.56
M0008|Baralaba Coal Mine|Baralaba North||https://www.gem.wiki/Baralaba_coal_mine||Operating||||Wonbindi Coal|Baralaba Coal Company|AMCI|USA|Production|1.8||Surface|Open Pit||60|Estimate||Bituminous|Thermal & Met|79|-|-|-|-|-|166|44|2018||Bowen|||Queensland|Australia|36|Australia & NZ|-24.15411438|149.8027197|Exact||||3.5|9.5|0.2|4.32
M0009|Belview Coal Mine|||https://www.gem.wiki/Belview_coal_project||Shelved|Exploration|New||Stanmore Coal|Stanmore Coal|Golden Energy Mines|Singapore|Capacity|2.6||Underground|||500|Estimate||Bituminous|Met|-|-|-|0|-|-|330|-|2024|||Blackwater||Queensland|Australia|36|Australia & NZ|-23.587132|148.977385|Exact|Terminal (Export)|Port of Gladstone|https://www.gem.wiki/Port_of_Gladstone|13.8|57.4|1.1|6.82
M0010|Bengalla Coal Mine|||https://www.gem.wiki/Bengalla_mine||Operating||||Bengalla Mining Company|New Hope Group|New Hope Group (80%), Taipower (20%)|China|Production|12.8||Surface|Open Pit|12|270|Exact|420|Subbituminous|Thermal|219|132|87|154|-|-|411|17|1999|24|Hunter|Muswellbrook||New South Wales|Australia|36|Australia & NZ|-32.268076|150.84|Exact||||3.2|61.4|1.2|22.85
M0011|Blackwater Coal Mine|Stewarton, Taurus, Tannyfoil, Wilpeena||https://www.gem.wiki/Blackwater_mine||Operating||||Queensland Coal, BHP Mitsubishi Alliance (BMA)|Queensland Coal, BHP Mitsubishi Alliance (BMA)|BHP (50%), Mitsubishi Corporation (50%)|Australia|Production|12.4||Surface|Open Pit|210|60|Estimate|1530|Bituminous|Thermal & Met|410|181|229|350|-|-|878|33|1967|20|Bowen|Blackwater||Queensland|Australia|36|Australia & NZ|-23.685585|148.807361|Exact|Terminal (Export)|Hay Point Coal Terminal|https://www.gem.wiki/Hay_Point_Coal_Terminal|3.5|65.1|1.3|29.75
