ProjectID;Fuel;StartCountry;EndCountry;Countries;Wiki;PipelineName;SegmentName;OtherNames;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Capacity;CapacityUnits;CapacityBcm/y;LengthKnownKm;LengthEstimateKm;LengthMergedKm;Diameter;DiameterUnits;Source;StartLocation;StartPrefecture/District;StartState/Province;StartRegion;EndLocation;EndPrefecture/District;EndState/Province;EndRegion;FID;FIDYear;WKTFormat
P1276;Gas;Argentina;Brazil;Argentina, Brazil;https://www.gem.wiki/Paran%C3%A1-Uruguayana_Gas_Pipeline;Paraná-Uruguayana Gas Pipeline;;Gasoduto Paraná-Uruguaiana, Transportadora de Gas del Mercosur;"Techint; TotalEnergies SE; Petronas; Latin Exploration S.L.U.; CMS Energy; Ultrapar; Repsol; Techint; Petrobras";Operating;2000.0;;;;5.5;bcm/year;--;451;436.91;451;;;;Paraná;;Entre Ríos;Latin America and the Caribbean;Uruguaiana;;Rio Grande do Sul;Latin America and the Caribbean;;;LINESTRING (-60.590054 -31.89146, -60.34648001 -31.88321755, -60.24915798 -31.86550755, -59.87377301 -31.66455665, -59.40454181 -31.42758622, -59.33502607 -31.39198881, -59.25855877 -31.32966086, -59.06043892 -31.121603, -58.65029609 -30.87133029, -58.32357214 -30.40779979, -57.98989662 -30.18572026, -57.79525256 -30.08652287, -57.36425501 -29.75816413, -57.35035186 -29.76721601, -57.27736034 -29.74911144, -57.20784461 -29.79135034, -56.99988 -29.764744)
P1277;Gas;Mexico;Mexico;Mexico;https://www.gem.wiki/El_Oro-Mazatlan_Pipeline;El Oro-Mazatlan Pipeline;;;TC Energy (100%);Operating;2016.0;;;;2.1;bcm/year;--;430;422.7;430;;;;El Oro;;Sinaloa;North America;Mazatlan;;Sinaloa;North America;;;LINESTRING (-106.35437 23.192743, -106.431 23.39249, -106.58 23.75476, -106.753 24.03547, -106.993 24.30592, -107.278 24.55012, -107.578 24.74578, -107.857 25.03549, -107.988 25.33888, -108.02 25.52054, -108.037 25.68285, -108.154 25.85447, -108.748162 26.100727)
P1278;Gas;Brazil;Brazil;Brazil;https://www.gem.wiki/Route_1_Gas_Pipeline;Route 1 Gas Pipeline;;Lula-Mexilhão Gas Pipeline;"Petrobras (65%); Royal Dutch Shell (25%); Galp Group (10%)";Operating;2011.0;;;;3.65;bcm/year;--;359;331.84;359;;;Tupi gas field;Tupi field;;Rio de Janeiro;Latin America and the Caribbean;Monteiro Lobato Gas Treatment Unit;Caraguatatuba;São Paulo;Latin America and the Caribbean;;;LINESTRING (-42.839 -25.398, -44.18 -24.476, -45.499295 -23.652947)
P1279;Gas;Mexico;Mexico;Mexico;https://www.gem.wiki/Los_Ramones_Gas_Pipeline;Los Ramones Gas Pipeline;;;"Sempra Energy; Engie; BlackRock; FirstReserve; Pemex";Operating;2014.0;;;;51.2;bcm/year;--;879;710.14;879;;;;Camargo;;Tamaulipas;North America;Aposeo El Alto;;Guanajuato;North America;;;LINESTRING (-98.776447 26.297919, -99.459615 25.682706, -99.537665 24.511096, -100.680806 22.450203, -100.52453 21.291918, -100.444319 20.822993, -100.6419696 20.4583418)
P1280;Gas;Mexico;Mexico;Mexico;https://www.gem.wiki/Guadalajara_Gas_Pipeline;Guadalajara Gas Pipeline;;Guadalajara-CT Manzanillo Pipeline;TC Energy (100%);Operating;2011.0;;;;8.9;bcm/year;--;310;291.54;310;24, 30;in;;Manzanillo;;Colima;North America;El Salto;;Jalisco;North America;;;LINESTRING (-104.295 19.04374, -104.213 19.00142, -104.034 18.921, -103.986 18.92523, -103.922 18.94978, -103.889 18.95317, -103.873 18.97179, -103.878 19.00396, -103.876 19.06914, -103.858 19.08438, -103.851 19.14194, -103.834 19.17749, -103.812 19.18765, -103.745 19.18765, -103.68 19.21305, -103.625 19.21305, -103.602 19.20458, -103.476 19.20204, -103.428 19.2359, -103.389 19.28839, -103.385 19.36457, -103.389 19.4196, -103.385 19.44669, -103.372 19.47293, -103.378 19.51102, -103.389 19.53811, -103.444 19.58636, -103.462 19.638, -103.486 19.68202, -103.502 19.72604, -103.522 19.7599, -103.52 19.77005, -103.506 19.7836, -103.504 19.80815, -103.51 19.87926, -103.495 19.89449, -103.473 19.89873, -103.454 19.90888, -103.451 19.93851, -103.448 20.0875, -103.439 20.10866, -103.422 20.12475, -103.401 20.1476, -103.392 20.18231, -103.4 20.19416, -103.423 20.20601, -103.46 20.24326, -103.452 20.29236, -103.428 20.31098, -103.328 20.36177, -103.264 20.36939, -103.235 20.37108, -103.221 20.38717, -103.197 20.42526, -103.191 20.44642, -103.2 20.46251, -103.219 20.49637)
P1281;Gas;Venezuela;Argentina;Venezuela, Brazil, Argentina;https://www.gem.wiki/Gran_Gasoducto_del_Sur_Gas_Pipeline;Gran Gasoducto del Sur Gas Pipeline;;Venezuela-Argentina Gas Line;Petrobras (100%);Cancelled;;;;;45.75;bcm/year;--;15000;6473.83;15000;;;;Puerto Ordaz, Ciudad Guayana;;Bolivar;Latin America and the Caribbean;Maraba;;Para;Latin America and the Caribbean;;;LINESTRING (-62.7160906 8.4213075, -60.024935 -3.132395, -51.071416 0.015302, -49.113197 -5.370523, -51.6593866 -12.2827662, -51.7473206 -25.5490576, -58.346773 -34.621995)
P1282;Gas;Brazil;Brazil;Brazil;https://www.gem.wiki/GASUN_Gas_Pipeline;GASUN Gas Pipeline;;National Unification Gas Pipeline, Gas Unificação;Petrobras (100%);Cancelled;2026.0;;;;10.95;bcm/year;--;5100;2845.04;5100;;;;Ribas do Rio Pardo;;Mato Grosso do Sul;Latin America and the Caribbean;;;Maranhão;Latin America and the Caribbean;;;MULTILINESTRING ((-53.568258 -20.676855, -49.2944516 -16.687501, -48.3393946 -10.2444883, -48.085718 -6.947659, -49.677084 -3.766947, -48.4839926 -1.3565919), (-48.085718 -6.947659, -45.2177976 -4.2358357))
P1283;Gas;Argentina;Argentina;Argentina;https://www.gem.wiki/Gasoducto_del_Noreste_Argentino_Gas_Pipeline;GNEA pipeline;Southern segment;South American Gas Pipeline;IEASA (100%);Operating;2019.0;;;;10;bcm/year;--;694;595.3;694;24;in;Vaca Muerta shale fields;Santo Tomé;;Santa Fé;Latin America and the Caribbean;Río Bermejo;;Chaco;Latin America and the Caribbean;;;LINESTRING (-60.7885546 -31.6490883, -60.1945 -29.464765, -58.633935 -26.660857)
P1284;Gas;Brazil;Brazil;Brazil;https://www.gem.wiki/Gasene_Gas_Pipeline;Gasene Gas Pipeline;;Southeast Northeast Interconnection Gas Pipeline, Gasoduto da Integração Sudeste-Nordeste;"Engie; Caisse de dépôt et placement du Québec";Operating;2010.0;;;;7.5;bcm/year;--;1387;1258.98;1387;;;;Cabiúnas;Macaé;Rio de Janeiro;Latin America and the Caribbean;Catu;;Bahia;Latin America and the Caribbean;;;LINESTRING (-41.716872 -22.286138, -40.749595 -20.811029, -40.299118 -20.296189, -40.181715 -19.80271, -39.760362 -19.459402, -39.860794 -18.723836, -39.866834 -18.042598, -39.555317 -17.29393, -39.58738 -16.383561, -39.281338 -14.787836, -39.727333 -14.15375, -39.19216 -12.987428, -39.104322 -12.644527, -38.352183 -12.389247)
P1285;Gas;Bolivia;Brazil;Bolivia, Brazil;https://www.gem.wiki/Gasbol_Gas_Pipeline;Gasbol Gas Pipeline;;Bolivia-Brazil pipeline, Río Grande - Mutún pipeline;"Petrobras (51%); Fluxys Belgium NV (37%); Yacimientos Petrolíferos Fiscales Bolivianos (12%)";Operating;1999.0;;;;11;bcm/year;--;3150;2882.23;3150;;;;Río Grande;;Santa Cruz;Latin America and the Caribbean;Canoas;;Rio Grande do Sul;Latin America and the Caribbean;;;MULTILINESTRING ((-62.908466 -18.193691, -61.771377 -18.417794, -60.67063 -18.529097, -59.519788 -18.637516, -58.420619 -18.896432, -57.896165 -19.195995, -57.514429 -19.419398, -56.719877 -20.12206, -55.725268 -20.514398, -54.743286 -20.609661, -53.546337 -20.717461, -52.333071 -20.891767, -51.165865 -21.185476, -50.457993 -21.380376, -50.106575 -21.504676, -49.024 -21.816684, -47.945259 -22.062153, -47.133415 -22.719598, -48.48472 -23.947807, -49.373659 -25.576412, -48.709003 -27.497228, -49.401879 -28.605248, -51.147576 -29.877514), (-47.133415 -22.719598, -45.981336 -23.459995))
