dt,average
2002-11-01,1779.5
2002-12-01,1779.67
2003-01-01,1777.52
2003-02-01,1774.82
2003-03-01,1774.88
2003-04-01,1775.8
2003-05-01,1774.43
2003-06-01,1771.71
2003-07-01,1770.7
2003-08-01,1774.29
2003-09-01,1780.58
2003-10-01,1784.68
2003-11-01,1785.27
2003-12-01,1783.59
2004-01-01,1780.85
2004-02-01,1779.97
2004-03-01,1781.0
2004-04-01,1780.69
2004-05-01,1777.55
2004-06-01,1772.3
2004-07-01,1767.99
2004-08-01,1769.71
2004-09-01,1775.49
2004-10-01,1779.68
2004-11-01,1780.47
2004-12-01,1778.39
2005-01-01,1776.3
2005-02-01,1775.78
2005-03-01,1775.45
2005-04-01,1774.54
2005-05-01,1772.21
2005-06-01,1768.57
2005-07-01,1766.25
2005-08-01,1768.03
2005-09-01,1773.12
2005-10-01,1778.47
2005-11-01,1781.21
2005-12-01,1780.29
2006-01-01,1779.53
2006-02-01,1779.47
2006-03-01,1777.41
2006-04-01,1776.11
2006-05-01,1774.96
2006-06-01,1769.32
2006-07-01,1764.17
2006-08-01,1767.2
2006-09-01,1774.57
2006-10-01,1778.22
2006-11-01,1779.06
2006-12-01,1779.96
2007-01-01,1779.15
2007-02-01,1778.57
2007-03-01,1780.32
2007-04-01,1781.1
2007-05-01,1779.41
2007-06-01,1775.63
2007-07-01,1772.6
2007-08-01,1777.19
2007-09-01,1785.89
2007-10-01,1789.84
2007-11-01,1789.51
2007-12-01,1788.2
2008-01-01,1786.66
2008-02-01,1785.79
2008-03-01,1786.2
2008-04-01,1786.89
2008-05-01,1785.2
2008-06-01,1780.5
2008-07-01,1777.63
2008-08-01,1781.04
2008-09-01,1787.68
2008-10-01,1793.66
2008-11-01,1797.3
2008-12-01,1796.62
2009-01-01,1795.05
2009-02-01,1795.59
2009-03-01,1796.01
2009-04-01,1795.54
2009-05-01,1792.33
2009-06-01,1786.93
2009-07-01,1784.96
2009-08-01,1788.82
2009-09-01,1794.83
2009-10-01,1798.03
2009-11-01,1797.9
2009-12-01,1796.72
2010-01-01,1797.11
2010-02-01,1798.76
2010-03-01,1799.5
2010-04-01,1799.63
2010-05-01,1797.7
2010-06-01,1792.57
2010-07-01,1789.46
2010-08-01,1794.08
2010-09-01,1801.87
2010-10-01,1806.55
2010-11-01,1807.05
2010-12-01,1803.65
2011-01-01,1800.46
2011-02-01,1800.17
2011-03-01,1801.01
2011-04-01,1802.88
2011-05-01,1803.3
2011-06-01,1799.18
2011-07-01,1796.2
2011-08-01,1799.04
2011-09-01,1804.08
2011-10-01,1809.58
2011-11-01,1812.4
2011-12-01,1810.04
2012-01-01,1807.27
2012-02-01,1808.24
2012-03-01,1809.96
2012-04-01,1808.38
2012-05-01,1804.67
2012-06-01,1800.95
2012-07-01,1799.27
2012-08-01,1803.21
2012-09-01,1810.12
2012-10-01,1814.73
2012-11-01,1815.86
2012-12-01,1814.6
2013-01-01,1814.04
